Rk,Gcar,Gtm,Date,Team,Location,Opp,Result,Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
65,436,66,2015-03-15,HOU,Away,LAC,Win,100-98,*,40:38,7,16,.438,3,5,.600,4,11,.364,.531,17,18,.944,0,7,7,7,0,0,3,3,34,28.0,5
66,437,67,2015-03-17,HOU,Home,ORL,Win,107-94,*,34:40,4,14,.286,1,4,.250,3,10,.300,.321,8,11,.727,1,7,8,4,3,0,4,1,17,11.8,14
67,438,68,2015-03-19,HOU,Home,DEN,Win,118-108,*,40:09,12,27,.444,4,12,.333,8,15,.533,.519,22,25,.880,1,9,10,4,1,0,4,2,50,37.1,22
68,439,69,2015-03-21,HOU,Home,PHO,Loss,102-117,*,32:33,5,19,.263,1,8,.125,4,11,.364,.289,5,5,1.000,1,1,2,5,0,2,5,3,16,4.4,-27
69,440,70,2015-03-23,HOU,Away,IND,Win,110-100,*,43:05,10,21,.476,3,8,.375,7,13,.538,.548,21,22,.955,1,3,4,7,2,2,4,4,44,37.2,5
70,441,71,2015-03-25,HOU,Away,NOP,Win,95-93,*,37:25,9,20,.450,1,4,.250,8,16,.500,.475,6,9,.667,0,6,6,10,1,1,2,3,25,20.7,-2
71,442,72,2015-03-27,HOU,Home,MIN,Win,120-110,*,36:56,9,19,.474,6,12,.500,3,7,.429,.632,9,10,.900,1,3,4,8,5,0,3,4,33,30.5,10
72,443,73,2015-03-29,HOU,Away,WAS,Win,99-91,*,37:50,7,20,.350,1,6,.167,6,14,.429,.375,9,10,.900,0,3,3,6,2,1,3,3,24,16.0,1
73,444,74,2015-03-30,HOU,Away,TOR,Loss,96-99,*,37:57,9,22,.409,3,8,.375,6,14,.429,.477,10,12,.833,2,3,5,5,1,0,3,3,31,21.0,-13
74,445,75,2015-04-01,HOU,Home,SAC,Win,115-111,*,37:33,16,25,.640,8,9,.889,8,16,.500,.800,11,13,.846,2,6,8,6,3,0,7,1,51,42.1,10
75,446,76,2015-04-02,HOU,Away,DAL,Win,108-101,*,38:57,6,15,.400,2,8,.250,4,7,.571,.467,10,12,.833,0,4,4,6,1,0,5,2,24,15.7,12
76,447,77,2015-04-05,HOU,Away,OKC,Win,115-112,*,38:04,12,22,.545,6,9,.667,6,13,.462,.682,11,13,.846,2,4,6,6,3,0,3,6,41,34.0,-3
77,448,78,2015-04-08,HOU,Away,SAS,Loss,98-110,*,35:22,6,15,.400,2,6,.333,4,9,.444,.467,8,8,1.000,2,2,4,4,1,0,1,1,22,18.3,-26
78,449,79,2015-04-10,HOU,Home,SAS,Loss,103-104,*,37:41,5,19,.263,2,5,.400,3,14,.214,.316,4,6,.667,0,2,2,10,3,0,4,2,16,9.7,-2
79,450,80,2015-04-12,HOU,Home,NOP,Win,121-114,*,37:47,10,18,.556,1,6,.167,9,12,.750,.583,9,9,1.000,0,1,1,7,1,1,4,2,30,23.5,1
80,451,81,2015-04-13,HOU,Away,CHO,Win,100-90,*,36:53,7,20,.350,1,8,.125,6,12,.500,.375,14,16,.875,2,4,6,6,1,2,2,1,29,23.8,0
81,452,82,2015-04-15,HOU,Home,UTA,Win,117-91,*,27:27,3,8,.375,2,5,.400,1,3,.333,.500,8,8,1.000,0,11,11,10,1,1,6,2,16,16.8,28
,,,,,,,56-25,81,2979,647,1470,.440,208,555,.375,439,915,.480,.511,715,824,.868,75,384,459,565,154,60,321,208,2217,21.7,333
